Datetime,Satellite,Mean (mg m-3),Min (mg m-3),Max (mg m-3),Pixel Coverage (%),URL
2016-05-04T09:31:00.000+00:00,S3A,3.52345,2.18009,11.58448,70,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160504T093142_sui_geneva.tif
2016-05-06T10:20:00.000+00:00,S3A,2.8892,1.95103,14.72065,84,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160506T102019_sui_geneva.tif
2016-04-28T10:27:00.000+00:00,S3A,5.32535,2.2302,10.51503,4,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160428T102748_sui_geneva.tif
2016-05-03T09:57:00.000+00:00,S3A,3.47746,2.21855,5.29571,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160503T095753_sui_geneva.tif
2016-05-02T10:24:00.000+00:00,S3A,3.4257,2.31166,11.51469,11,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160502T102404_sui_geneva.tif
2016-05-07T09:54:00.000+00:00,S3A,3.03688,2.18084,9.93208,4,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160507T095408_sui_geneva.tif
2016-05-16T09:20:00.000+00:00,S3A,7.34387,3.63413,10.47584,68,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160516T092029_sui_geneva.tif
2016-05-15T09:46:00.000+00:00,S3A,6.02115,2.48512,11.00626,60,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160515T094640_sui_geneva.tif
2016-05-19T09:42:00.000+00:00,S3A,7.18426,7.18426,7.18426,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160519T094255_sui_geneva.tif
2016-05-27T09:35:00.000+00:00,S3A,3.27147,3.27147,3.27147,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160527T093526_sui_geneva.tif
2016-06-06T10:16:00.000+00:00,S3A,3.22624,2.23991,9.48149,60,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160606T101635_sui_geneva.tif
2016-06-07T09:50:00.000+00:00,S3A,3.29617,2.25179,8.85113,69,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160607T095024_sui_geneva.tif
2016-06-10T10:12:00.000+00:00,S3A,3.15386,2.31962,9.46125,88,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160610T101251_sui_geneva.tif
2016-06-14T10:09:00.000+00:00,S3A,5.32926,3.22319,9.7851,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160614T100906_sui_geneva.tif
2016-06-15T09:42:00.000+00:00,S3A,3.08533,2.12164,9.43931,53,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160615T094255_sui_geneva.tif
2016-06-18T10:05:00.000+00:00,S3A,3.09226,2.05689,8.62006,15,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160618T100522_sui_geneva.tif
2016-06-19T09:39:00.000+00:00,S3A,3.19659,2.04448,8.13606,25,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160619T093911_sui_geneva.tif
2016-06-22T10:01:00.000+00:00,S3A,3.00672,2.1123,10.06774,86,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160622T100137_sui_geneva.tif
2016-06-23T09:35:00.000+00:00,S3A,3.22163,2.22651,9.15859,75,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160623T093526_sui_geneva.tif
2016-06-27T09:31:00.000+00:00,S3A,2.52544,2.00495,7.69104,61,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160627T093142_sui_geneva.tif
2016-06-29T10:20:00.000+00:00,S3A,2.18417,1.91847,6.02812,5,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160629T102019_sui_geneva.tif
2016-06-26T09:57:00.000+00:00,S3A,2.51623,1.93326,9.09567,66,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160626T095753_sui_geneva.tif
2016-07-01T09:27:00.000+00:00,S3A,2.19906,1.85574,2.41523,5,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160701T092758_sui_geneva.tif
2016-07-03T10:16:00.000+00:00,S3A,2.68926,1.01159,10.64023,44,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160703T101635_sui_geneva.tif
2016-07-04T09:50:00.000+00:00,S3A,2.48694,1.56804,12.10239,85,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160704T095024_sui_geneva.tif
2016-07-07T10:12:00.000+00:00,S3A,2.49492,1.88072,10.41881,68,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160707T101251_sui_geneva.tif
2016-07-09T09:20:00.000+00:00,S3A,2.40906,2.04168,4.33992,5,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160709T092029_sui_geneva.tif
2016-07-15T10:05:00.000+00:00,S3A,2.40966,1.44768,9.97171,58,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160715T100522_sui_geneva.tif
2016-07-16T09:39:00.000+00:00,S3A,2.67118,2.10547,8.85593,79,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160716T093911_sui_geneva.tif
2016-07-18T10:27:00.000+00:00,S3A,3.05319,2.4279,8.77425,6,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160718T102748_sui_geneva.tif
