date,daily_max
2019-07-29,24.02
2019-07-30,25.81
2019-07-31,23.63
2019-08-01,25.2
2019-08-02,24.05
2019-08-03,26.51
2019-08-04,26.61
2019-08-05,27.45
2019-08-06,26.04
2019-08-07,23.05
2019-08-08,26.35
2019-08-09,27.94
2019-08-10,23.62
2019-08-11,24.79
2019-08-12,22.25
2019-08-13,21.45
2019-08-14,23.17
2019-08-15,23.07
2019-08-16,23.92
2019-08-17,28.13
2019-08-18,28.21
2019-08-19,23.54
2019-08-20,18.91
2019-08-21,20.84
2019-08-22,22.47
2019-08-23,21.0
2019-08-24,22.78
2019-08-25,24.39
2019-08-26,25.56
2019-08-27,24.73
2019-08-28,23.39
2020-05-29,20.35
2020-05-30,20.71
2020-05-31,21.99
2020-06-01,23.24
2020-06-02,22.86
2020-06-03,20.14
2020-06-04,16.36
2020-06-05,15.41
2020-06-06,18.93
2020-06-07,15.45
2020-06-08,18.35
2020-06-09,15.04
2020-06-10,15.62
2020-06-11,19.81
2020-06-12,21.08
2020-06-13,18.15
2020-06-14,17.4
2020-06-15,20.4
2020-06-16,22.18
2020-06-19,18.66
2020-06-20,22.12
2020-06-21,22.5
2020-06-22,24.8
2020-06-23,27.49
2020-06-24,28.21
2020-06-25,26.17
2020-06-26,24.51
2020-06-27,25.73
2020-06-28,23.88
2020-06-29,23.9
2020-06-30,24.11
2020-07-01,27.41
2020-07-02,24.46
2020-07-03,20.76
2020-07-04,24.1
2020-07-05,25.26
2020-07-06,23.34
2020-07-07,23.28
2020-07-08,25.55
2020-07-10,27.81
2020-07-11,23.4
2020-07-12,24.77
2020-07-13,25.23
2020-07-14,25.14
2020-07-15,22.27
2020-07-16,23.43
2020-07-17,21.15
2020-07-18,24.69
2020-07-19,26.86
2020-07-20,27.56
2020-07-21,26.97
2020-07-22,24.88
2020-07-23,26.54
2020-07-24,22.53
2020-07-25,24.57
2020-07-26,26.69
2020-07-27,27.32
2020-07-28,28.71
2020-07-29,27.19
2020-07-30,29.18
2020-07-31,29.48
2020-08-01,31.64
2020-08-02,25.0
2020-08-03,19.57
2020-08-04,20.61
2020-08-05,23.49
2020-08-06,27.26
2020-08-07,27.08
2020-08-08,28.32
2020-08-09,28.78
2020-08-10,29.03
2020-08-11,26.61
2020-08-12,27.01
2020-08-13,27.13
2020-08-14,23.6
2020-08-15,26.98
2020-08-16,24.76
2020-08-17,24.06
2020-08-18,24.46
2020-08-19,25.42
2020-08-20,27.03
2020-08-21,29.22
2020-08-22,26.06
2020-08-23,24.05
2020-08-24,23.82
2020-08-25,25.29
2020-08-26,26.66
2020-08-27,24.38
2021-05-30,21.56
2021-05-31,20.73
2021-06-05,18.22
2021-06-06,21.54
2021-06-07,20.97
2021-06-08,20.17
2021-06-09,21.14
2021-06-10,26.08
2021-06-11,26.82
2021-06-12,26.22
2021-06-13,26.81
2021-06-14,26.25
2021-06-15,26.25
2021-06-16,27.64
2021-06-17,28.92
2021-06-18,28.05
2021-06-19,27.02
2021-06-20,25.16
2021-06-21,24.4
2021-06-22,22.01
2021-06-23,22.97
2021-06-24,21.02
2021-06-25,20.06
2021-06-26,23.57
2021-06-27,24.2
2021-06-28,22.89
2021-06-29,22.05
2021-06-30,18.52
2021-07-01,20.67
2021-07-02,23.94
2021-07-03,19.89
2021-07-04,20.86
2021-07-05,24.36
2021-07-06,22.12
2021-07-07,23.67
2021-07-08,20.26
2021-07-09,22.94
2021-07-10,23.04
2021-07-11,23.89
2021-07-12,22.83
2021-07-13,16.95
2021-07-14,18.0
2021-07-15,16.98
2021-07-16,22.3
2021-07-17,24.07
2021-07-18,26.12
2021-07-19,27.88
2021-07-20,27.98
2021-07-21,25.65
2021-07-22,26.7
2021-07-23,26.83
2021-07-24,24.03
2021-07-25,22.73
2021-07-26,22.24
2021-07-27,22.78
2021-07-28,22.84
2021-07-29,24.78
2021-07-30,25.25
2021-07-31,22.88
2021-08-01,17.41
2021-08-02,21.34
2021-08-03,21.01
2021-08-04,17.3
2021-08-05,21.45
2021-08-06,23.03
2021-08-07,20.14
2021-08-08,21.24
2021-08-09,21.41
2021-08-10,23.82
2021-08-11,24.97
2021-08-12,27.78
2021-08-13,25.97
2021-08-14,28.76
2021-08-15,29.84
2021-08-16,22.67
2021-08-17,21.33
