date,daily_max
2019-07-30,7.176
2019-07-31,6.2170000000000005
2019-08-01,4.274
2019-08-02,4.425
2019-08-03,7.456
2019-08-04,4.946000000000001
2019-08-06,9.61
2019-08-07,7.885
2019-08-09,7.739
2019-08-10,6.582999999999999
2019-08-11,11.1
2019-08-12,5.921
2019-08-13,5.669
2019-08-14,4.1419999999999995
2019-08-15,7.445
2019-08-16,4.84
2019-08-17,5.112
2019-08-18,10.93
2019-08-19,7.855
2019-08-20,5.626
2019-08-21,7.577000000000001
2019-08-23,4.39
2019-08-28,5.5489999999999995
2019-08-31,5.859
2019-09-01,8.36
2019-09-02,9.82
2019-09-03,6.726
2019-09-05,6.053
2019-09-06,9.63
2019-09-07,7.0729999999999995
2019-09-08,5.671
2019-09-09,4.282
2019-09-10,5.015
2019-09-11,4.252
2019-09-17,8.13
2019-09-18,9.01
2019-09-19,9.72
2019-09-20,4.084
2019-09-22,9.59
2019-09-23,6.093
2019-09-24,9.19
2019-09-25,10.28
2019-09-26,4.288
2019-09-27,8.48
2019-09-28,9.56
2019-09-29,10.51
2019-09-30,9.02
2019-10-01,7.547999999999999
2019-10-02,8.33
2019-10-03,5.289
2019-10-04,7.695
2019-10-05,6.301
2019-10-06,9.51
2019-10-07,4.542
2019-10-08,5.749
2019-10-09,13.25
2019-10-10,9.34
2019-10-12,4.399
2019-10-15,12.31
2019-10-16,6.232
2019-10-18,4.346
2019-10-19,5.371
2019-10-22,4.665
2019-10-23,5.48
2019-10-29,5.0889999999999995
2019-10-30,4.3260000000000005
2019-11-01,7.042999999999999
2019-11-02,12.69
2019-11-03,14.33
2019-11-04,11.64
2019-11-05,11.86
2019-11-06,6.6339999999999995
2019-11-07,9.9
2019-11-09,4.724
2019-11-10,5.557
2019-11-11,8.21
2019-11-12,8.37
2019-11-13,5.733
2019-11-14,7.805
2019-11-15,8.82
2019-11-16,5.997999999999999
2019-11-17,7.144
2019-11-18,6.6610000000000005
2019-11-19,7.2379999999999995
2019-11-20,4.051
2019-11-22,5.61
2019-11-23,4.863
2019-11-27,9.6
2019-11-28,11.29
2019-11-29,9.8
2019-11-30,4.798
2019-12-01,5.904
2019-12-02,10.71
2019-12-03,8.43
2019-12-07,6.684
2019-12-08,7.72
2019-12-09,13.48
2019-12-10,5.761
2019-12-11,8.07
2019-12-12,12.6
2019-12-13,15.14
2019-12-14,16.15
2019-12-15,5.815
2019-12-20,9.52
2019-12-21,9.04
2019-12-22,15.73
2019-12-23,11.62
2019-12-24,7.443
2019-12-25,8.58
2019-12-26,4.761
2019-12-27,5.315
2019-12-28,8.11
2019-12-29,5.593
2020-01-04,7.74
2020-01-05,5.459
2020-01-07,5.499
2020-01-09,4.6610000000000005
2020-01-10,7.282
2020-01-11,5.819
2020-01-14,5.396
2020-01-15,5.946000000000001
2020-01-16,5.818
2020-01-17,4.276
2020-01-18,7.556
2020-01-19,10.18
2020-01-20,10.59
2020-01-21,4.098
2020-01-23,5.092
2020-01-27,8.89
2020-01-28,15.54
2020-01-29,12.62
2020-01-30,5.237
2020-01-31,5.175
2020-02-01,8.48
2020-02-02,9.35
2020-02-03,8.08
2020-02-04,14.19
2020-02-05,8.41
2020-02-06,7.255
2020-02-09,9.26
2020-02-10,15.77
2020-02-11,14.07
2020-02-12,9.65
2020-02-13,13.52
2020-02-14,11.88
2020-02-16,4.9319999999999995
2020-02-17,7.353
2020-02-18,4.571000000000001
2020-02-19,9.69
2020-02-20,4.754
2020-02-21,5.654
2020-02-25,14.58
2020-02-26,14.04
2020-02-27,10.91
2020-02-28,6.276
2020-02-29,10.39
2020-03-01,10.42
2020-03-02,9.15
2020-03-03,10.49
2020-03-04,4.5680000000000005
2020-03-05,12.27
2020-03-06,13.03
2020-03-07,6.051
2020-03-08,8.05
2020-03-09,8.87
2020-03-10,7.223
2020-03-11,4.953
2020-03-12,5.909
2020-03-13,5.6339999999999995
2020-03-20,4.32
2020-03-21,9.08
2020-03-22,9.09
2020-03-23,7.916
2020-03-24,8.27
2020-03-25,8.79
2020-03-26,9.55
2020-03-28,5.891
2020-03-29,10.26
2020-03-30,11.44
2020-03-31,9.78
2020-04-02,6.359
2020-04-03,8.51
2020-04-04,6.351
2020-04-09,6.249
2020-04-12,5.197
2020-04-13,11.88
2020-04-14,12.59
2020-04-17,4.113
2020-04-18,6.874
2020-04-20,7.336
2020-04-21,4.02
2020-04-25,4.57
2020-04-26,4.933
2020-04-27,9.06
2020-04-28,8.97
2020-04-29,10.24
2020-04-30,5.7620000000000005
2020-05-01,13.82
2020-05-02,9.69
2020-05-04,5.768
2020-05-05,5.89
2020-05-06,7.19
2020-05-07,5.398
2020-05-08,4.2010000000000005
2020-05-09,4.962
2020-05-10,4.626
2020-05-11,13.07
2020-05-12,5.207000000000001
2020-05-13,7.246
2020-05-14,9.35
2020-05-15,6.316
2020-05-16,6.531000000000001
2020-05-17,8.32
2020-05-18,7.149
2020-05-19,10.8
2020-05-20,10.91
2020-05-21,6.605
2020-05-23,9.93
2020-05-24,8.54
2020-05-25,10.99
2020-05-26,9.96
2020-05-27,9.54
2020-05-28,11.72
2020-05-29,11.85
2020-05-30,9.31
2020-05-31,8.82
2020-06-01,4.459
2020-06-02,6.055
2020-06-03,10.18
2020-06-04,5.58
2020-06-05,11.74
2020-06-06,7.519
2020-06-07,4.833
2020-06-08,7.478
2020-06-09,5.761
2020-06-11,4.828
2020-06-12,4.276
2020-06-13,14.51
2020-06-15,6.484
2020-06-16,6.6579999999999995
2020-06-19,7.886
2020-06-20,5.797000000000001
2020-06-21,4.752
2020-06-22,9.43
2020-06-23,8.03
2020-06-24,5.024
2020-06-25,4.363
2020-06-26,7.5489999999999995
2020-06-27,6.457000000000001
2020-06-28,6.9239999999999995
2020-06-29,7.835
2020-07-01,12.67
2020-07-02,6.827000000000001
2020-07-03,6.369
2020-07-06,8.77
2020-07-07,9.61
2020-07-10,8.96
2020-07-11,9.21
2020-07-12,8.31
2020-07-13,5.443
2020-07-15,8.44
2020-07-16,5.433
2020-07-17,7.178
2020-07-18,8.63
2020-07-19,4.306
2020-07-21,8.79
2020-07-22,9.43
2020-07-23,8.33
2020-07-24,7.968
2020-07-26,6.459
2020-07-28,7.642
2020-07-29,5.938
2020-07-30,5.2139999999999995
2020-07-31,6.977
2020-08-01,10.09
2020-08-02,5.81
2020-08-03,7.365
2020-08-04,9.14
2020-08-05,7.832000000000001
2020-08-10,9.05
2020-08-11,8.07
2020-08-12,15.99
2020-08-13,14.6
2020-08-16,10.99
2020-08-17,5.602
2020-08-18,7.101
2020-08-19,4.994
2020-08-21,4.021
2020-08-22,6.025
2020-08-23,5.774
2020-08-24,6.31
2020-08-25,6.021
2020-08-26,9.02
2020-08-28,13.05
2020-08-29,4.061
2020-08-30,8.01
2020-08-31,5.577999999999999
2020-09-01,7.138
2020-09-02,5.45
2020-09-03,4.131
2020-09-04,4.209
2020-09-05,6.178
2020-09-06,6.235
2020-09-07,9.43
2020-09-08,4.873
2020-09-10,5.311
2020-09-11,4.852
2020-09-13,4.417
2020-09-15,4.762
2020-09-16,7.837999999999999
2020-09-17,9.3
2020-09-19,4.66
2020-09-20,7.106
2020-09-22,9.3
2020-09-23,5.987
2020-09-24,10.6
2020-09-25,10.83
2020-09-26,12.76
2020-09-27,11.85
2020-09-28,9.73
2020-09-29,8.87
2020-10-01,6.992999999999999
2020-10-02,15.3
2020-10-03,13.72
2020-10-04,16.59
2020-10-05,13.07
2020-10-06,9.06
2020-10-07,10.65
2020-10-08,4.989
2020-10-09,4.966
2020-10-10,6.126
2020-10-11,6.909
